age,education,balance,housing,loan,day,duration,campaign,poutcome,deposit,marital_married,marital_single,contact_telephone,contact_unknown
59,2,2343,1,0,5,1042,1,0,1,1,0,0,1
56,2,45,0,0,5,1467,1,0,1,1,0,0,1
41,2,1270,1,0,5,1389,1,0,1,1,0,0,1
55,2,2476,1,0,5,579,1,0,1,1,0,0,1
54,3,184,0,0,5,673,2,0,1,1,0,0,1
42,3,0,1,1,5,562,2,0,1,0,1,0,1
56,3,830,1,1,6,1201,1,0,1,1,0,0,1
60,2,545,1,0,6,1030,1,0,1,0,0,0,1
37,2,1,1,0,6,608,1,0,1,1,0,0,1
28,2,5090,1,0,6,1297,3,0,1,0,1,0,1
38,2,100,1,0,7,786,1,0,1,0,1,0,1
30,2,309,1,0,7,1574,2,0,1,1,0,0,1
29,3,199,1,1,7,1689,4,0,1,1,0,0,1
46,3,460,1,0,7,1102,2,0,1,0,1,0,1
31,3,703,1,0,8,943,2,0,1,0,1,0,1
35,3,3837,1,0,8,1084,1,0,1,0,0,0,1
32,1,611,1,0,8,541,3,0,1,0,1,0,1
49,2,-8,1,0,8,1119,1,0,1,1,0,0,1
41,2,55,1,0,8,1120,2,0,1,1,0,0,1
49,2,168,1,1,8,513,1,0,1,0,0,0,1
28,2,785,1,0,8,442,2,0,1,0,0,0,1
43,3,2067,1,0,8,756,1,0,1,0,1,0,1
43,3,388,1,0,8,2087,2,0,1,0,0,0,1
43,1,-192,1,0,8,1120,2,0,1,1,0,0,1
37,2,381,1,0,8,985,2,0,1,0,1,0,1
35,2,40,1,0,9,617,4,0,1,0,1,0,1
31,3,22,1,0,9,483,3,0,1,0,1,0,1
43,2,3,1,0,9,929,3,0,1,0,1,0,1
31,2,307,1,0,9,538,1,0,1,1,0,0,1
28,2,759,1,0,9,710,1,0,1,0,1,0,1
32,2,-1,1,0,9,653,1,0,1,1,0,0,1
60,1,65,1,0,9,1028,2,0,1,1,0,0,1
26,2,82,1,0,9,654,1,0,1,0,1,0,1
40,2,10,1,0,9,1692,2,0,1,1,0,0,1
33,1,390,1,0,9,665,2,0,1,0,0,0,1
32,3,311,0,0,12,757,2,0,1,0,1,0,1
35,1,414,0,0,13,504,4,0,1,1,0,0,1
33,2,5,1,0,13,1346,1,0,1,0,0,0,1
38,3,119,1,0,13,568,4,0,1,1,0,0,1
23,1,4,1,0,13,395,2,0,1,0,1,0,1
60,1,1262,1,1,13,1015,1,0,1,1,0,0,1
48,3,1949,1,0,13,683,2,0,1,1,0,0,1
45,3,-395,1,0,13,470,1,0,1,0,0,0,1
36,2,1165,1,0,13,1001,4,0,1,1,0,0,1
52,0,2240,1,0,13,845,1,0,1,1,0,0,1
35,1,300,1,0,13,945,2,0,1,0,0,0,1
43,2,3285,1,0,13,1721,2,0,1,1,0,0,1
52,2,3923,1,0,14,942,3,0,1,1,0,0,1
53,1,1443,1,0,14,476,1,0,1,0,0,0,1
48,1,24,1,0,14,832,1,0,1,0,0,0,1
41,1,1618,1,0,14,1553,1,0,1,0,1,0,1
39,3,517,1,1,14,1328,1,0,1,0,0,0,1
59,2,1521,1,1,14,1125,2,0,1,1,0,0,1
41,2,2823,1,0,14,858,1,0,1,1,0,0,1
48,2,1405,1,0,14,629,2,0,1,1,0,0,1
40,2,1535,1,0,14,704,1,0,1,1,0,0,1
48,2,1596,1,0,14,760,1,0,1,1,0,0,1
60,1,1542,1,0,14,930,1,0,1,1,0,0,1
40,0,3652,1,0,14,1028,2,0,1,0,1,0,1
57,3,-1,0,0,14,850,2,0,1,1,0,0,1
51,2,7180,1,0,14,927,1,0,1,1,0,0,1
41,2,5291,1,0,14,1423,3,0,1,0,0,0,1
41,2,1384,1,0,15,1162,4,0,1,1,0,0,1
52,1,-191,1,0,15,755,1,0,1,0,0,0,1
59,1,320,1,0,15,695,1,0,1,1,0,0,1
44,0,146,1,0,15,483,1,0,1,1,0,0,1
49,1,341,1,1,15,520,2,0,1,1,0,0,1
40,1,-9,1,0,15,920,2,0,1,1,0,0,1
41,1,-306,1,0,15,500,1,0,1,1,0,0,1
44,3,4580,1,0,15,911,2,0,1,1,0,0,1
60,1,313,1,0,15,920,2,0,1,0,1,0,1
29,3,10576,0,0,15,1224,2,0,1,1,0,0,1
41,1,-233,1,0,15,1156,2,0,1,0,0,0,1
41,1,2453,1,0,15,1052,1,0,1,1,0,0,1
42,2,1364,1,0,15,1867,6,0,1,0,1,0,1
36,0,281,1,0,16,515,1,0,1,0,1,0,1
39,3,94,1,1,16,813,1,0,1,1,0,0,1
31,3,144,1,0,16,676,1,0,1,0,1,0,1
26,2,246,1,0,16,1143,3,0,1,1,0,0,1
31,2,92,1,0,16,688,1,0,1,1,0,0,1
29,2,163,1,1,16,803,1,0,1,0,1,0,1
37,2,49,1,0,16,619,2,0,1,0,0,0,1
33,2,-416,1,0,16,767,2,0,1,0,1,0,1
24,2,409,1,0,16,912,1,0,1,0,1,0,1
50,2,363,1,0,16,1340,1,0,1,0,0,0,1
27,3,3706,1,0,16,897,1,0,1,0,1,0,1
54,3,4393,1,0,16,1297,3,0,1,0,1,0,1
30,2,863,1,0,16,1193,5,0,1,0,1,0,1
34,1,695,1,1,16,1064,4,0,1,1,0,0,1
37,2,792,1,0,16,1187,4,0,1,0,1,0,1
41,2,1020,1,0,19,882,1,0,1,0,1,0,1
47,2,863,1,0,19,943,2,0,1,1,0,0,1
31,2,97,1,0,19,607,1,0,1,1,0,0,1
31,2,754,1,0,19,1022,4,0,1,1,0,0,1
43,2,1040,1,0,19,552,3,0,1,0,0,0,1
37,3,122,1,0,19,1622,2,0,1,0,0,0,1
30,3,880,1,1,19,967,6,0,1,0,1,0,1
41,2,501,1,0,19,579,5,0,1,1,0,0,1
36,2,4438,1,0,20,446,1,0,1,1,0,0,1
35,2,0,1,0,20,1205,1,0,1,0,0,0,1
29,2,271,1,0,20,1882,2,0,1,0,1,0,1
35,1,102,1,0,20,1334,1,0,1,1,0,0,1
31,2,2,1,0,20,182,2,0,1,1,0,0,1
35,2,4170,1,0,20,1777,1,0,1,1,0,0,1
34,2,85,1,0,20,1182,4,0,1,0,1,0,1
31,2,431,1,1,20,1045,1,0,1,0,1,0,1
44,2,982,1,0,20,650,3,0,1,0,0,0,1
36,1,408,1,1,20,1063,2,0,1,1,0,0,1
35,0,4822,1,0,20,843,2,0,1,1,0,0,1
41,1,1250,1,0,20,1392,2,0,1,1,0,0,1
31,1,216,1,0,21,565,1,0,1,0,1,0,1
34,2,1207,1,0,21,905,1,0,1,1,0,0,1
32,2,791,1,0,21,783,2,0,1,1,0,0,1
36,3,849,1,1,21,958,2,0,1,1,0,0,1
30,2,239,1,0,21,412,1,0,1,0,1,0,1
37,2,1211,1,0,21,795,1,0,1,0,1,0,1
36,1,599,1,0,21,649,2,0,1,1,0,0,1
31,3,825,1,0,21,506,2,0,1,0,1,0,1
27,2,2183,1,1,21,857,1,0,1,1,0,0,1
