person_age,person_gender,person_education,person_income,loan_amnt,loan_int_rate,credit_score,previous_loan_defaults_on_file,loan_status,person_home_ownership_MORTGAGE,person_home_ownership_OWN,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
22.0,0,4,71948.0,35000.0,16.02,561,0,1,0,0,0,0,0,0,1,0
21.0,0,1,12282.0,1000.0,11.14,504,1,0,0,1,0,1,0,0,0,0
25.0,0,1,12438.0,5500.0,12.87,635,0,1,1,0,0,0,0,1,0,0
23.0,0,3,79753.0,35000.0,15.23,675,0,1,0,0,0,0,0,1,0,0
24.0,1,4,66135.0,35000.0,14.27,586,0,1,0,0,0,0,0,1,0,0
21.0,0,1,12951.0,2500.0,7.14,532,0,1,0,1,0,0,0,0,0,1
26.0,0,3,93471.0,35000.0,12.42,701,0,1,0,0,0,1,0,0,0,0
24.0,0,1,95550.0,35000.0,11.11,585,0,1,0,0,0,0,0,1,0,0
24.0,0,2,100684.0,35000.0,8.9,544,0,1,0,0,0,0,0,0,1,0
21.0,0,1,12739.0,1600.0,14.74,640,0,1,0,1,0,0,0,0,0,1
22.0,0,1,102985.0,35000.0,10.37,621,0,1,0,0,0,0,0,0,0,1
21.0,0,2,13113.0,4500.0,8.63,651,0,1,0,1,0,0,1,0,0,0
23.0,1,3,114860.0,35000.0,7.9,573,0,1,0,0,0,0,0,0,0,1
26.0,1,4,130713.0,35000.0,18.39,708,0,1,0,0,0,1,0,0,0,0
23.0,0,2,138998.0,35000.0,7.9,583,0,0,0,0,0,1,0,0,0,0
23.0,0,4,600891.0,30000.0,10.65,670,1,0,1,0,1,0,0,0,0,0
23.0,1,3,144943.0,35000.0,7.9,663,0,0,0,0,0,1,0,0,0,0
23.0,0,1,111369.0,35000.0,20.0,694,0,1,0,0,0,0,0,1,0,0
23.0,1,3,136628.0,35000.0,18.25,709,0,1,0,0,1,0,0,0,0,0
24.0,0,4,14283.0,1750.0,10.99,679,0,1,1,0,0,1,0,0,0,0
25.0,1,3,195718.0,35000.0,7.49,684,1,0,0,0,0,0,0,0,0,1
25.0,1,1,165792.0,34800.0,16.77,662,0,0,0,0,0,0,0,0,1,0
22.0,0,4,79255.0,34000.0,17.58,691,0,1,0,0,0,1,0,0,0,0
24.0,0,3,13866.0,1500.0,7.29,600,1,0,0,1,0,0,0,0,1,0
22.0,1,3,97420.0,33950.0,14.54,691,0,1,0,0,0,0,0,0,1,0
24.0,0,1,82443.0,33000.0,12.68,654,0,1,0,0,0,0,1,0,0,0
21.0,0,2,14288.0,4575.0,17.74,626,0,1,1,0,0,0,0,0,0,1
23.0,1,1,14293.0,1400.0,9.32,607,0,0,0,1,0,0,0,0,1,0
24.0,0,3,79054.0,32500.0,9.99,700,0,1,0,0,0,0,1,0,0,0
21.0,0,3,14988.0,4000.0,12.84,553,0,1,0,0,0,1,0,0,0,0
21.0,1,1,14858.0,2000.0,11.12,589,0,1,0,1,0,0,0,1,0,0
25.0,1,3,144855.0,32000.0,6.62,586,1,0,0,0,0,0,0,0,0,1
26.0,1,3,114645.0,31050.0,14.17,681,0,1,0,0,0,0,1,0,0,0
25.0,0,1,368115.0,24250.0,13.85,567,1,0,0,0,1,0,0,0,0,0
26.0,0,2,361076.0,7800.0,13.49,669,0,0,1,0,0,0,0,1,0,0
21.0,1,2,15150.0,2500.0,7.51,600,0,1,0,1,0,1,0,0,0,0
22.0,0,3,58868.0,30000.0,18.39,606,0,1,0,0,0,1,0,0,0,0
24.0,1,1,78026.0,30000.0,14.54,582,0,1,0,0,1,0,0,0,0,0
25.0,1,3,90785.0,30000.0,16.89,649,0,1,0,0,0,0,1,0,0,0
23.0,0,1,86811.0,30000.0,11.01,602,0,1,0,0,1,0,0,0,0,0
26.0,1,3,75503.0,30000.0,17.99,616,0,1,0,0,0,0,0,1,0,0
24.0,0,1,15082.0,2500.0,12.69,631,0,1,0,1,0,0,0,0,0,1
26.0,1,3,361293.0,20000.0,7.88,684,1,0,1,0,0,0,0,0,0,1
23.0,1,1,361547.0,24250.0,19.41,637,1,0,0,1,0,1,0,0,0,0
26.0,1,4,360680.0,10000.0,10.38,649,0,0,0,1,0,0,1,0,0,0
26.0,1,3,360977.0,25000.0,15.33,695,1,0,1,0,0,1,0,0,0,0
25.0,0,3,361244.0,18000.0,16.45,620,0,0,1,0,0,0,1,0,0,0
26.0,1,3,98230.0,30000.0,7.49,622,0,1,0,0,0,0,0,0,1,0
22.0,0,1,80838.0,30000.0,12.69,645,0,1,0,0,0,0,0,1,0,0
26.0,1,4,107957.0,30000.0,6.62,654,0,1,0,0,1,0,0,0,0,0
24.0,0,3,94649.0,30000.0,11.01,624,0,1,0,0,1,0,0,0,0,0
23.0,1,1,94550.0,30000.0,18.62,570,0,1,0,0,1,0,0,0,0,0
23.0,1,3,111153.0,30000.0,15.23,648,0,1,0,0,0,0,0,0,1,0
23.0,0,2,117250.0,30000.0,10.65,652,0,1,0,0,0,0,0,0,0,1
25.0,1,3,144985.0,30000.0,7.9,559,0,0,0,0,0,1,0,0,0,0
26.0,1,1,337133.0,10000.0,15.96,623,1,0,0,0,0,0,0,0,1,0
26.0,1,2,333566.0,20000.0,11.48,602,1,0,0,0,0,0,0,0,0,1
23.0,1,3,333399.0,35000.0,11.01,609,0,0,0,1,0,0,0,0,1,0
25.0,1,4,154793.0,30000.0,7.29,573,1,0,0,0,0,0,0,0,1,0
24.0,1,2,15229.0,1750.0,11.01,631,1,0,0,1,0,0,0,0,0,1
21.0,0,3,158338.0,30000.0,5.99,623,1,0,0,0,0,0,0,0,0,1
22.0,0,3,331034.0,12000.0,11.58,602,1,0,0,1,0,0,0,0,0,1
26.0,0,1,316466.0,10000.0,11.01,579,0,1,1,0,0,1,0,0,0,0
25.0,0,2,267671.0,25000.0,15.7,582,0,1,1,0,0,0,0,1,0,0
22.0,1,4,85191.0,29100.0,15.99,700,0,1,0,0,0,1,0,0,0,0
22.0,1,2,15013.0,1500.0,14.84,688,0,0,1,0,0,1,0,0,0,0
26.0,1,3,313100.0,28000.0,10.99,607,1,0,0,1,0,0,1,0,0,0
25.0,0,3,311952.0,20000.0,14.42,661,1,0,1,0,0,0,1,0,0,0
24.0,1,1,306897.0,9600.0,6.99,562,1,0,1,0,0,1,0,0,0,0
25.0,0,3,301136.0,25000.0,13.49,664,1,0,0,0,0,0,0,1,0,0
25.0,1,1,15162.0,3000.0,11.01,564,0,1,0,1,0,0,0,1,0,0
22.0,1,2,69042.0,28000.0,11.01,598,0,1,0,0,0,0,0,1,0,0
21.0,0,1,15307.0,3000.0,13.61,557,0,1,0,1,0,1,0,0,0,0
23.0,0,2,79183.0,28000.0,7.9,677,0,1,0,0,0,1,0,0,0,0
26.0,1,3,102654.0,28000.0,7.49,690,0,1,0,0,0,0,0,0,0,1
26.0,1,2,15229.0,6100.0,7.51,599,0,1,0,1,0,1,0,0,0,0
22.0,1,1,106566.0,28000.0,9.91,604,0,1,0,0,0,0,0,0,0,1
21.0,0,3,15252.0,4200.0,13.48,663,0,1,0,1,0,0,0,0,1,0
22.0,1,3,15432.0,4750.0,7.14,601,0,1,0,1,1,0,0,0,0,0
24.0,1,1,100332.0,28000.0,15.99,634,0,1,0,0,0,0,0,0,0,1
24.0,1,3,300951.0,18000.0,12.98,671,0,0,0,0,0,1,0,0,0,0
144.0,1,3,300616.0,4800.0,13.57,789,0,0,0,0,0,0,0,0,0,1
25.0,0,3,121062.0,28000.0,12.69,622,0,0,0,0,1,0,0,0,0,0
26.0,1,2,133372.0,28000.0,8.9,538,1,0,0,0,0,1,0,0,0,0
26.0,1,3,15505.0,2700.0,11.01,587,0,1,0,1,1,0,0,0,0,0
22.0,1,4,130852.0,28000.0,11.01,683,0,1,0,0,0,1,0,0,0,0
23.0,1,2,182316.0,28000.0,11.11,634,1,0,0,0,1,0,0,0,0,0
24.0,0,3,83853.0,27600.0,11.01,690,0,1,0,0,0,0,1,0,0,0
21.0,0,3,15394.0,3250.0,15.68,518,0,1,1,0,1,0,0,0,0,0
22.0,0,3,85243.0,27500.0,13.06,583,0,1,0,0,0,1,0,0,0,0
22.0,1,2,288907.0,25000.0,11.01,617,1,0,0,1,0,0,0,0,1,0
26.0,1,2,89074.0,27050.0,15.62,668,0,1,0,0,0,0,0,0,0,1
24.0,1,4,100509.0,27000.0,13.49,673,0,1,0,0,0,0,0,0,1,0
24.0,1,1,88950.0,27000.0,11.01,706,0,1,0,0,0,0,0,0,0,1
23.0,0,1,75894.0,26000.0,11.71,536,0,1,0,0,0,0,0,1,0,0
23.0,1,2,145092.0,25600.0,12.69,557,1,0,0,0,0,1,0,0,0,0
24.0,0,3,15928.0,1600.0,13.57,689,1,0,0,1,0,0,0,1,0,0
22.0,1,3,73131.0,25475.0,10.99,681,0,1,0,0,0,0,0,0,0,1
25.0,1,4,281501.0,20000.0,14.27,623,1,0,1,0,0,0,0,1,0,0
24.0,0,2,281775.0,20000.0,8.88,595,1,0,0,1,0,0,1,0,0,0
26.0,1,3,281792.0,21600.0,12.18,584,1,0,1,0,0,0,1,0,0,0
25.0,1,3,266090.0,11900.0,14.42,669,0,1,1,0,1,0,0,0,0,0
26.0,1,1,279664.0,25000.0,14.17,642,1,0,1,0,0,0,0,1,0,0
25.0,0,1,277017.0,35000.0,13.99,622,1,0,1,0,0,0,0,1,0,0
23.0,1,2,100756.0,25300.0,10.99,689,0,1,0,0,0,1,0,0,0,0
22.0,1,1,16218.0,2000.0,5.42,614,0,1,1,0,0,0,0,0,1,0
25.0,0,3,16211.0,1750.0,13.61,597,1,0,0,1,0,0,0,0,1,0
21.0,0,3,51922.0,25000.0,12.73,673,0,1,0,0,0,1,0,0,0,0
24.0,1,2,50309.0,25000.0,11.01,625,0,1,0,0,0,0,1,0,0,0
25.0,1,1,16378.0,3000.0,12.87,603,0,1,0,1,1,0,0,0,0,0
24.0,1,3,16572.0,3650.0,9.91,589,0,1,1,0,0,0,1,0,0,0
26.0,1,4,272201.0,20000.0,11.49,670,1,0,1,0,0,0,1,0,0,0
25.0,0,3,271324.0,30000.0,19.91,637,1,0,1,0,0,0,1,0,0,0
26.0,1,2,256862.0,35000.0,10.65,643,0,1,1,0,0,1,0,0,0,0
24.0,1,1,271342.0,6000.0,11.01,508,1,0,0,0,0,0,0,1,0,0
24.0,1,1,16470.0,4500.0,11.83,643,0,1,1,0,1,0,0,0,0,0
23.0,1,1,16599.0,2400.0,13.49,505,0,1,0,1,1,0,0,0,0,0
22.0,1,3,51608.0,25000.0,14.59,593,0,1,0,0,0,0,0,1,0,0
26.0,0,4,58516.0,25000.0,9.64,686,0,1,0,0,0,1,0,0,0,0
25.0,0,2,16395.0,3600.0,14.59,646,0,1,0,1,0,0,0,1,0,0
22.0,0,3,16890.0,4750.0,11.01,645,0,1,0,1,0,1,0,0,0,0
25.0,0,2,51747.0,25000.0,16.35,697,0,1,0,0,0,1,0,0,0,0
21.0,1,1,59864.0,25000.0,10.99,648,0,1,0,0,0,1,0,0,0,0
25.0,1,4,270972.0,25000.0,18.67,640,1,0,1,0,0,0,0,0,0,1
26.0,1,3,270870.0,3000.0,9.32,681,0,0,0,0,0,1,0,0,0,0
23.0,0,2,270729.0,7500.0,8.63,646,0,0,0,0,1,0,0,0,0,0
26.0,1,3,270877.0,25000.0,10.08,615,1,0,1,0,0,0,0,0,0,1
22.0,1,2,60501.0,25000.0,11.83,687,0,1,0,0,0,0,0,0,1,0
23.0,1,1,60754.0,25000.0,7.9,650,0,1,0,0,1,0,0,0,0,0
25.0,1,3,60829.0,25000.0,5.99,588,0,1,0,0,0,0,1,0,0,0
